name;systemId;rules;subjectRole;parent
USER;USER;READ_HOME,UPDATE_PROCESS,CREATE_PROFILE;FALSE;NULL
SYS_ADMIN;SYS_ADMIN;READ_HOME,UPDATE_PROCESS,DELETE_PROCESS,CREATE_PROFILE;FALSE;USER
SYS_APPROVER;SYS_APPROVER;CREATE_APPROVAL;FALSE;USER
